"LPAD(SKU,13,'0')"	"SKU"	"descr"	"Price"	"Type"
"0000000022121"	"022121"	"TRNSCND USB 2.0 JF310 16GB"		
"0000000001314"	"1314"	"CRAYON REGULAR 48COL"		
"0000000002674"	"2674"	"PAINTBRUSH 4F PONY"		
"0000000022118"	"022118"	"BROTHER PRINTER MFCL5900DW"		
"0000000022119"	"022119"	"BROTHER TONER 3448 BLK"		
"0000000022120"	"022120"	"TRNSCND USB 2.0 JF310 8GB"		
"0000000022122"	"022122"	"CANON WASTE TANK MC10"		
"0000000022123"	"022123"	"FOLDER PLASTIC SOLID VLT LGL"		
"0000000022124"	"022124"	"FOLDER PLASTIC SOLID ORG LGL"		
"0000000022125"	"022125"	"FUJIXEROX TONER CT201918 BLK"		
"0000000022160"	"022160"	"BOARD VELLUM PCRM 220G LGL10S"		
"0000000022485"	"022485"	"CASIO CALC STANDARD DJ220D PLU"		
"0000000023017"	"023017"	"ENV AX041 CRISSCROSS ASSTD"		
"0000000023051"	"023051"	"ISD STAPLER W/REMOVER"		
"0000000000082"	"82"	"FOIL ALUMINUM ROLL RED 1M"		
"0000000000077"	"77"	"GLUE ALL PURPOSE E371PH/E1321"		
"0000000000081"	"81"	"FOIL ALUMINUM ROLL GRN 1M"		
"0000000000094"	"94"	"ARCHFILE 3IN 9300B GRY A4"		
"0000000000149"	"149"	"BALLPEN 777 RETRACTABLE"		
"0000000000225"	"225"	"BATTERY 1215BP4 AA  4PCK"		
"0000000000226"	"226"	"BATTERY 1250BP2 D 2PCK"		
"0000000000245"	"245"	"BINDER CLIP SPRING STAINLESS"		
"0000000000432"	"432"	"BOOKEND 9353L ASSTD"		
"0000000000459"	"459"	"LEVER RIBBON BUNDY CLOCK"		
"0000000000477"	"477"	"CABINET SDD UP3031"		
"0000000000541"	"541"	"CASIO CALC HANDHELD SL340VA"		
"0000000000540"	"540"	"CASIO CALC HANDHELD SL300LV"		
"0000000000580"	"580"	"CARBON PAPER767 NON SMUDGE LTR"		
"0000000000648"	"648"	"CASH REG ROLL 1PLY 38X67MM"		
"0000000000882"	"882"	"ENV COIN #8.5 25S KFT 4X7.5IN"		
"0000000000909"	"909"	"PENCIL COLORED3535-M12"		
"0000000001203"	"1203"	"TABLE CONFERENCE UP2018"		
"0000000001205"	"1205"	"TABLE CONFERENCE  UP2018"		
"0000000001233"	"1233"	"COPY PAPER"		
"0000000001282"	"1282"	"CORRECTION TAPE 981 WHT 3MTR"		
"0000000001298"	"1298"	"DUSTCOVER CT8302 KEYBOARD"		
"0000000001327"	"1327"	"CREPE PAPER DBLU 500X2440CM"		
"0000000001385"	"1385"	"PENCIL DERMATOGRAPH GLASS BLK"		
"0000000001499"	"1499"	"DOC CABINET 9347S/F W/ OR W/OL"		
"0000000001662"	"1662"	"PEDESTAL FIXED UP4042 3D"		
"0000000001675"	"1675"	"FLASHCARDS SUBTRACTION"		
"0000000001917"	"1917"	"INDEX CARD  RBS BLU 5X8IN 50S"		
"0000000002161"	"2161"	"KRAFT ROLL 48X57IN"		
"0000000002374"	"2374"	"MAGNIFIER GLASS BLK 3IN"		
"0000000002800"	"2800"	"PAPER RIBBED 90G SORG 5S"		
"0000000002869"	"2869"	"PENCIL 3 HARD MONGOL YEL 3S"		
"0000000002939"	"2939"	"PENHOLDER METAL TY194 BLK"		
"0000000003054"	"3054"	"ENV EXP PLAST W/O HANDLE PLOCK"		
"0000000003051"	"3051"	"ENV EXP PLAST W/O HANDLE PLOCK"		
"0000000003170"	"3170"	"FOLDER PRESSBOARD W/TAB MRN"		
"0000000003277"	"3277"	"FORM PURCHASE ORDER 8.25X5.5"		
"0000000003309"	"3309"	"REPORT COVER TY217 F4 TRANCOL"		
"0000000003360"	"3360"	"RIBBON ORGANZA LBLU 3/4MMX1YD"		
"0000000003544"	"3544"	"FORM SALES ORDER DUP 3X50S"		
"0000000003597"	"3597"	"SCISSORS ZIGZAG C909 WFREEHB24"		
"0000000003626"	"3626"	"SHARPENER XD1648/1678"		
"0000000003757"	"3757"	"SIGNPEN BXV5 RED"		
"0000000003827"	"3827"	"SIGN YS715 CLOSED"		
"0000000003832"	"3832"	"SIGN LADIES  YS726 YEL 4X9IN"		
"0000000003882"	"3882"	"FOLDER SLIDE PNK A4 TRANSPLAST"		
"0000000003880"	"3880"	"FOLDER SLIDE BLU A4 TRANSPLAST"		
"0000000003881"	"3881"	"FOLDER SLIDE GRN A4 TRANSPLAST"		
"0000000003950"	"3950"	"NB SPIRAL 813D"		
"0000000004047"	"4047"	"STAMP DATER D4 S 4MM GRY"		
"0000000004073"	"4073"	"INK FOR STAMPPAD W/BRUSH 975"		
"0000000004127"	"4127"	"STAPLEWIRE #35"		
"0000000004323"	"4323"	"DISPENSER TAPE TD05/WL200"		
"0000000004346"	"4346"	"TECH PEN FINE PIN05200 BLK0.5"		
"0000000004427"	"4427"	"TRANSPARENCY OHP FILM G4 3020"		
"0000000004613"	"4613"	"YARN BLK 18G"		
"0000000009031"	"9031"	"DABOMA LABELLER OHV500"		
"0000000009804"	"9804"	"SHREDDER DS1 33500-72"		
"0000000002701"	"2701"	"RULER TRIANGLE SET 9605/T2035"		
"0000000006653"	"6653"	"NB SPIRAL POWER PUFF #7"		
"0000000010389"	"10389"	"ENV CATALOG 250LBS KFTWHT 9X12"		
"0000000021136"	"021136"	"CORKBOARD ALUM FRAME 4X6FT"		
"0000000021190"	"021190"	"TRANSCEND USB 3.0 JF790 128GB"		
"0000000021675"	"021675"	"CANON CALC PRINTING MP1411LTS"		
"0000000021981"	"021981"	"FUJIXEROX TONER CT202268 CYN"		
